"photo_id","file_name","file_path","source_file","latitude","longitude","elevation","bearing","horizontal_accuracy","taken_local","taken_offset","taken_gps_utc","orientation","source_width","source_height"
"IMG_3500_d9e31cad","IMG_3500_d9e31cad.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3500_d9e31cad.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3500.jpeg","38.9923083333333","-76.9975583333333","67.37108177","39.43317412","4.748651528","2026-06-02T17:59:30","-04:00","2026-06-02T21:59:30","1","4284","5712"
"IMG_3668_84be71db","IMG_3668_84be71db.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3668_84be71db.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3668.jpeg","38.8912861111111","-78.1600583333333","335.74885","321.3790281","4.748651516","2026-06-27T08:59:01","-04:00","2026-06-27T12:59:00","1","3024","4032"
"IMG_8680_0dba5956","IMG_8680_0dba5956.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_8680_0dba5956.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_8680.jpeg","38.8958972222222","-78.1548694444444","321.2581747","209.7351074","3.535166359","2026-06-29T08:03:19","-04:00","2026-06-29T12:03:19","1","3024","4032"
"IMG_3832_5ab999fa","IMG_3832_5ab999fa.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3832_5ab999fa.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3832.jpeg","38.89225","-78.1718611111111","255.5344105","174.1776734","4.748651528","2026-07-16T12:50:42","-04:00","2026-07-16T16:50:40","1","4032","3024"
"IMG_3737_ebb63de8","IMG_3737_ebb63de8.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3737_ebb63de8.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3737.jpeg","38.8915833333333","-78.1723166666667","253.6905066","114.3887863","4.748651528","2026-07-04T08:23:41","-04:00","2026-07-04T12:23:40","1","3024","4032"
"IMG_3408_f26c0755","IMG_3408_f26c0755.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3408_f26c0755.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3408.jpeg","38.8971027777778","-78.150725","283.2351454","288.1686099","4.748651528","2026-05-11T12:51:42","-04:00","2026-05-11T16:51:40","1","3024","4032"
"IMG_3409_7f5d1149","IMG_3409_7f5d1149.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3409_7f5d1149.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3409.jpeg","38.8970944444444","-78.1507333333333","286.8929104","289.4368591","5.311715665","2026-05-11T12:52:11","-04:00","2026-05-11T16:52:10","1","3024","4032"
"IMG_3576_c0fdd2ec","IMG_3576_c0fdd2ec.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3576_c0fdd2ec.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3576.jpeg","38.8946138888889","-78.157975","357.3507415","325.2296753","3.628108012","2026-06-12T15:23:51","-04:00","2026-06-12T19:23:50","1","3024","4032"
"IMG_3501_79908d86","IMG_3501_79908d86.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3501_79908d86.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3501.jpeg","38.9948083333333","-76.9997722222222","93.25909784","36.13770295","23.72482251","2026-06-02T18:11:33","-04:00","2026-06-02T22:11:32","1","3024","4032"
"IMG_3556_6b850724","IMG_3556_6b850724.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3556_6b850724.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3556.jpeg","38.89845","-78.1508722222222","269.667992","351.3964539","4.753317355","2026-06-10T13:37:14","-04:00","2026-06-10T17:37:10","1","3024","4032"
"IMG_3700_e1425c61","IMG_3700_e1425c61.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3700_e1425c61.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3700.jpeg","38.8917055555556","-78.1721805555556","254.9558803","79.68934629","4.748651528","2026-07-01T05:57:36","-04:00","2026-07-01T09:57:36","1","3024","4032"
